,topic,last_sentence,checked_sentence,eval_label,generated_sentence
120,Guns N' Roses,Which one of them is the lead vocalist?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",Well Axl of course! lol His band released 6 albums selling more than 100 million records worldwide making them the 41st best selling artists of all time!,Axl Rose is the lead vocalist. Slash is the guitarist and Duff is the bassist.
121,Game design,Thats cool what kind of games do you design?,"Game Design is the art of applying design and aesthetics to create a game for entertainment or for educational, exercise, or experimental purposes.",Game design I use is used to create for entertainment or education. I've seen some for exercising too.,"I design video games for entertainment or for educational, exercise, or experimental purposes.  I also work on board games. "
122,Dave Matthews,Born in the late 70s so didn't really start to appreciate music until the 1990s onwards. Loved Dave Matthews Band,"Since then, he has also done various solo performances and produced other records.","I was never a big fan of the Dave Matthews Band, but I actually really dig some of his solo performances.",I love Dave Matthews Band too! He's one of my favorite guitarists of all time. He's so talented!
123,Popcorn,"Wow, I thought it was the american indian's. Do you know what happens that makes the corn pops?",Archaeologists discovered that people have known about popcorn for thousands of years.,"I am not sure, but archaeologists have known about popcorn for thousands of years Maybe heat has something to do with it.","I am not sure, but I do know that popcorn is made by heating the kernels on a stove."
124,Ireland,"oh that is pretty cool. i've only ever been to canada, mexico, and the USA where I live",Thick woodlands covered the island until the Middle Ages.,"Thats pretty cool, id still love to visit more of Europe, it would be cool to explore the thick woodlands of Ireland.","Ive never been to Mexico either, Ive only been to Canada and the United States. Have you ever been to the Caribbean?"
125,Bowling,"Bowling
I used to bowl all of the time when I was younger",Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.,"I still do, sometimes as a sport or leisure activity.",I used to bowl when I was younger.  I was a good bowler.  It's a sport in which the objective is to roll a ball toward a smaller target.
126,Cod,"Most cod sold in stores is farm raised, and also the cod you eat in restaurants.","Cod is popular as a food with a mild flavour and a dense, flaky, white flesh.",I read that it is a popular food with a mild flavor and a dense flaky flesh,That is true.  I read that there are several stocks of cod that divide the US into Atlantic and Pacific
127,Discovery Channel,I did not know that.  I do know that I used to watch MythsBusters on a weekly basis.  It was very interesting and entertaining,"Programming on the flagship Discovery Channel in the U.S. is primarily focused on reality television series, such as speculative investigation (with shows such as ""MythBusters"", ""Unsolved History"", and ""Best Evidence""), automobiles, and occupations (such as ""Dirty Jobs"" and ""Deadliest Catch""); it also features documentaries specifically aimed at families and younger audiences.","Oh i LOVE MythBusters! That, and Deadliest Catch. ","Yes, it's a great show.  It's hosted by David Zaslav.  He's the CEO of Discovery Communications."
128,Guns N' Roses,That's an incredible feat! Has the band ever been involved in any controversy?,"Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100.","I think it was drugs but what do you expect from a rock band from the 80's, right. lol Their most successful album was ""Appetite for destruction"" in 1987 which debuted their most famous song ""Sweet child o'mine"". A great song! ",Yes they have been involved in a few legal issues. They were sued by Glenn Danzig over writing credits on his material.
129,Game design,Thats cool .  Where do  you do play these games you design?  Are they for computers or games systems or???,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).","I'm in school for it . Its part of game studies, while game theory studies require strategic decision making qualities. ","I design video games for computers and games systems. I also design board games, card games, and dice games."
130,Richard Ashcroft,Fave 1990s rock song of all is Bitter Sweet SYmphony by the Verve. Loved older classics like Bohemian Raphody by queen ,The Verve reformed in 2007 but again broke up by summer 2009.,"I was so excited when The Verve reformed, but it's too bad they couldn't keep it together for very long.","That's a great one! I love Queen's ""Wake Me Up Before You Go-Go"" and ""Strawberry Fields Forever""."
131,Popcorn,Do you know how many flavours there are?,Popping of the kernels was achieved by hand on the stovetop through the 19th century.,"No idea, but the stovetop has been used to pop kernels since the 10th century.","I am not sure, but I do know that the majority of popcorn is made in the United States."
132,Harry Potter,"Harry Potter
I just ordered all the Harry Potter books and look forward to reading them",Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,"I have never read any books by the British author J.K. Rowling, it does sound like an interesting series though",Harry Potter is a great series of books by J.K. Rowling. I love that he is a wizard.
133,Bowling,"are you on a team, my dad was always on a bowling team when I was growing up","A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot.",Usually i just play with a friend and the pins are knocked down every time I play!,"No, but I do know that bowling has been traced back to the 13th century in England."
134,Archery,Archery,"Archery is the sport, practice or skill of using a bow to propel arrows.",Archery is so cool to watch! It is the use of a bow to propel arrows.,Archery is a great sport.  It is shot at targets with a bow.  Do you like it?
135,Skiing,Skiing,"Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.",I could never get the hang of skiing. I don't think my balance is good enough.,"Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow."
136,Game design,"Game design
how long have you been designing games?","Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators.","I personally haven't designed any games but have taken classes about games, I like it because there are rules and roles that everyone has to adhere to and it gives you any kind of element you want to work with. ","I have been designing games for entertainment or for educational, exercise, or experimental purposes for many years."
137,Elvis Presley,"Elvis Presley
Elvis Presley is one of my favorite artists of all time","Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","I loved Elvis!  It was so sad when he died! He really WAS the ""King of Rock and Roll""!","Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor."
138,Green,"Green
My favorite color is green, to me it is peaceful.  How about you?",Green is the color between blue and yellow on the visible spectrum.,"I like green, I think it is cool that it is a mix of blue and yellow, and comes between them in the visible spectrum as well","I love green too! It is a primary color in the family of primary colors, and it is used in so many things."
139,Green,"Green
My favorite color is green. I really love the different variations of it. How about you?",Green is the color between blue and yellow on the visible spectrum.,"I like green, it reminds me of trees since it is the color between blue and yellow!",I love the color green too. It is a primary color in the family of primary colors. 
140,Harry Potter,Harry Potter is a series of fantasy novels written by British author J. K. Rowling,", the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",It must be very popular to have sold more than 500 million copies around the world. It has been translated to 73 languages!,"The novels chronicle the lives of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry."
141,Bowling,"I always liked to bowl but was never very good at it, I am good at Wii bowling lol!!","The maximum score is 300, which is achieved by getting 12 strikes in a row.",Does Wii bowling have the maximum score of 300 or some other score?,"Wii is a great video game, it's so much fun to play with friends and it has so many options."
142,Archery,"Wow, i have watched it a few times but i don't know much about it could you tell me more","Historically, archery has been used for hunting and combat.","Well way back in history, archery was less a sport and more a means of hunting and combat.","It is a sport and recreational activity. It is used for hunting, combat, and other things."
143,Water skiing,Interesting. Snow skiing or water skiing?,"In addition, the skier must have adequate upper and lower body strength, muscular endurance, and good balance.",I have tried both. I was better at snow skiing than water skiing. I think for water skiing I wasnt strong enough to hold myself up.,"I'm not sure about water skiing, but I do know that skiing has a history of almost five millennia."
144,High school diploma,where were your classes taken?,A high school diploma is a North American academic school leaving qualification awarded upon high school graduation.,I took classes in high school before getting my diploma.,"I took a lot of classes about game design and game theory, both are part of game studies."
145,Elvis Presley,"He really was i was really sad as well, could you tell me when was he born?","Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.","He was born on January 8, 1935 in Tupelo Mississippi!  I was born on January 8 as well!  We shared the same birthday!","Elvis Aaron Presley was born January 8, 1935 in Tupelo, Mississippi.  He moved to Memphis, Tennessee when he was 13 years old."
146,Green,"That is true, it is kind of a mesh of two colors.  It does not hurt it is referred to as the common color of money as well.",It also has a long historical tradition as the color of Ireland and of Gaelic culture.,"Not only that, it has a long tradition as the color of ireland culture as well!","I think it is cool that it is a mix of blue and yellow, and comes between them in the visible spectrum as well"
147,Green,"It makes me think of spring and summer, when the grass is nice and green and the trees are full.",It is evoked by light which has a dominant wavelength of roughly 495570 nm.,Quite poetic aren't you? I think thats because it is formed by light which has a dominant wavelength ,"Yes, it reminds me of spring and summer, when the grass is nice and green and the trees are full."
148,Harry Potter,"The novels chronicle the life of a young wizard, Harry Potter, and his friends","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.","I see, his friends Hermoine Granger and Ron Weasley and they must go that Hogwarts School","The majority of the books are set seven years after the events of the first book, ""Harry Potter and the Philosopher's Stone""."
149,Bowling,I dont remember it has also been years since I have played that one too,"The pin version of bowling is often played on a flat wooden or other synthetic surface (which can be oiled in different patterns for different techniques), while in target bowling, the surface may be grass, gravel or a synthetic surface.","I see, I have a flat wooden or other synthetic surface in my house so I can bowl in the privacy of my home!","I have never played Wii bowling, but I know it is popular in Germany, Austria and Switzerland."
150,Archery,How far back does archery date? im curious when did we start using them bow,"The word comes from the Latin ""arcus"".","Well I'm not sure how old it is, but I know that in Latin it is known as ""arcus"".","The bow and arrow was invented in the Upper Paleolithic and Mesolithic periods, so it has been around for a long time."
151,Vail Ski Resort,Did you try skiing lessons? They have amazing ski resorts that offer lessons in Colorado.,"Vail Ski Resort is located in the western United States, in Eagle County, Colorado, next to the town of Vail.",I did at Vail Skit Resort.  That was many years ago. I haven't had a chance to go back.  Maybe once I move up North I can try again.,"I did not, but I would love to go to a ski resort and take lessons. It would be so much fun."
152,Academic degree,does the process involve drawing?,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",not so much drawing but learning to code. most Game designers have bachelor degrees. ,"Yes drawing is a big part of it, it helps you to create a game for entertainment or for educational, exercise, or experimental purposes."
153,Elvis Presley,"The odds of that happening are incredibly low it is awesome you where born the same day, what else can you tell me about him","Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","It was in January 1956 when Elvis released his first single!  It was called Heartbreak Hotel, and it was awesome!  It became the number one hit in the U.S.!",He started his music career in 1954 at Sun Records!  He was only 13 years old when he started recording!
154,Apple,"I agree!  But the real important question is, are green apples better than red?","The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.","I think both kinds of apples are good, but red apples are a bit more sweet, i like that fruit a bit more","I think green apples are better than red apples, but I am not sure if they are the same color."
155,Green,So it is green from the way we process it? ,"In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.","Exactly, it is created by a combination of yellow and blue which our eyes percieve. ","Yes, it is green because it is a primary color in the electromagnetic spectrum. It is also the color of the sky."
156,Harry Potter,The books have been insanely popular since they came out world wide,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.","I thought they came out more recently than Juen 26, 1997!",The wizarding world exists parallel to the real world and contains magical versions of the real elements of everyday life
157,Bowling,"oh that is exciting, if I could bowl in my own home that would be awesome","In target variations, the aim is usually to get the ball as close to a mark as possible.",You should! The aim is usually to get the ball as close to the pins so my house doesn't break!,"I bet that would be fun, I bet it would be a lot of fun to bowl in the privacy of your own home!"
158,Medical billing,"Medical billing
I was bilked so much medically last time","The process involves a healthcare provider submitting, and following up on, claims with health insurance companies in order to receive payment for services rendered; such as treatments and investigations.","oh god, do you have health insurance. ",I'm sorry to hear that. Medical billing is a payment practice within the United States health care system.
159,Yoga,"Oh yeah, I went there once. It was beautiful. Maybe you can try yoga to improve your balance.","Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",I have wanted to get into yoga just to help with my mentality. I have heard it is ver meditating.,Yoga is a great way to improve your balance.  It is a type of physical exercise.
160,Video game development,is that your plan?  to get a bachelors in computer science or something?,Video game development is the process of creating a video game.,"Yes, I would like to get my bachelors and then do something with game development, it would be cool to work on a game start to finish over the couple year period it takes to make a game. ","yes, I want to get a bachelors in computer science, I like how it allows you to create a game for entertainment or for educational purposes. "
161,Heartbreak Hotel,i love that single i could listen to it every day of the week,It was written by Tommy Durden and Mae Boren Axton.,"Me too!  Interestingly, it was written by  Mae Boren Axton and Tommy Durden.  Elvis sang it beautifully!","It was!  It was released in January of 1956, and it was only 12 weeks after it was released!  That's a long time!"
162,no_passages_used,I wonder if there is really any nutritional difference between red and green apples.  I would think not.,no_passages_used,"I am not sure, I would think they would be very tiny differences though, as they are the same type of fruit","I am not sure, but I do know that red apples are a bit more tart, and green apples are sweeter"
163,Green,"Real scientific, I guess that is why there are different shades of green.","By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.","Yes and by far the largest contributor to green in nature is chlorophyll, which you see in trees and plants","Exactly, it is created by a combination of yellow and blue which our eyes percieve. "
164,Nickelback,"Nickelback
im a big nickelback fan. whats your opinion on the band?","Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",I actually love Nickelback! They sold over 50 million albums in early 2000s I think!,"Nickelback is one of my favorite bands. I love their song ""All the Right Reasons""."
165,Harry Potter,"Harry Potter
Everyone has seen Harry Potter except me. Have you ever read the books or watched the movies?","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",Yes I am a big fan of it actually. I love reading about chronicles of the life of a young wizard,"No, I haven't, but I have seen the movies. I love that the wizarding world exists parallel to the real world."
166,Medical billing,No I don't,"The process involves a healthcare provider submitting, and following up on, claims with health insurance companies in order to receive payment for services rendered; such as treatments and investigations.",medicaal illing is essential in USA. And also health insurance is vey important for all. We need to claim with insurance company and recie the payment ,"oh god, do you have health insurance.  I am so glad I don't have to deal with medical billing."
167,Bowling,Bowling,Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.,Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target .,I love to bowl in cricket. It is the action of propelling the ball toward the wicket defended by a batsman.
168,Video game development,do you game personally?  console or PC?,"Traditional commercial PC and console games are normally funded by a publisher, and can take several years to reach completion.",I am much more in to PC games but growing up I played console games. ,"I do like PC games, I like the fact that they can be played on multiple platforms. "
169,Elvis Presley,I really liked the 2nd album he came out with me and my friends would listen to it every day,"Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues.",I actually have ALL his albums!  It's quite a collection!  I love the way he fuses together country music and rhythm and blues. It's amazing!,"I really liked his first album too!  It was called ""Elvis Presley"" and it was released in 1977!"
170,Motivation,"Motivation
I have trouble getting motivated. What about you?","Motivation is the reason for people's actions, desires, and needs.",Yea same motivation is very hard if you dont desire it or need it,I do too. I think it's because I have a need that requires both satisfaction and direction.
171,Cheerleading,Cheerleading,It can range from chanting slogans to intense physical activity.,"Having been a cheerleader, I will *absolutely* argue that it should be classified as an intense athletic physical activity!",Cheerleading is such a great sport. It's a great way to express yourself through physical exercise.
172,Nickelback,"it wouldnt surprise me. when they started getting radio play, the band blew up big.","The band went through a few drummer changes between 1995 and 2005, achieving its current lineup when Adair replaced drummer Ryan Vikedal.","They became quite popular! They've had a few drummer changes in the early 2000s, but I still love them and their sound, now.",I think so too! They were inducted into the Rock and Roll Hall of Fame in 2016!
173,Harry Potter,Was he born a wizard?,"The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people."," As far as the main story arc concerns, he was and he went to wizard school to improve himself.",Yes he was born a wizard. He was orphaned at the age of eleven and raised by his aunt and uncle.
174,Medicare (United States),Do you know any insurance company I can use,"In the United States, Medicare is a single-payer, national social insurance program administered by the U.S. federal government since 1966, currently using about 30–50 private insurance companies across the United States under contract for administration.","YEs buddy, Medicare it is a single payer, national insurance company from1966",I do not know any company. But I know that health insurance policies cover the cost of medical treatments.
175,Bowling form,"It looks easy on television, but I guess aiming is difficult?","Generally, there are three basic forms of 10-pin bowling.","Generally, there are three basic forms of 10 pin bowling.",It is a sport in which the objective is to roll or throw a bowling ball towards a target.
176,Instagram,"Instagram
Have you ever used Instagram? I've looked at it but have never done anything with it.","Instagram is a mobile, desktop, and Internet-based photo-sharing application and service that allows users to share pictures and videos either publicly, or privately to pre-approved followers.",Yes its great its a internet based photo sharing app lots of fun,"Yes, I have used it a few times. It's a photo and video-sharing social network."
177,Nickelback,Nickelback,"Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada.",I am going to see the Canadian rock band Nickelback soon!,I really like nickelback coins. They are made of copper and nickel and have been around since 1866.
178,Motivation,"Well... if it's something important is no fun. because you know you have to do it, but you just don't!","Motivation is the reason for people's actions, desires, and needs.",Even when people have action or desires it still hard to get motivated,"Yea same motivation is very hard if you know you have to do it, but you just don't!"
179,Cheerleading,"You know I've never thought about it before, but yes, you are right - it's intense! ","Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.","I mean, obviously it *depends* -- but competitive routines include tumbling, dance, jumps, cheers, and ""stunting"". A lot!","Yes, it can be very physically demanding, but it's also a great way to get in shape."
180,Nickelback,what was their drummer placed? i had never heard that.,"The band went through a few drummer changes between 1995 and 2005, achieving its current lineup when Adair replaced drummer Ryan Vikedal.","They went through drummer changes from 1995 to 2005. I think the drummer now is Adair, and he replaced Ryan Vikedal.","I'm not sure, but I do know that they were inducted into the Rock and Roll Hall of Fame in 2013."
181,Harry Potter,Who wrote these stories?,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,These novels were written by British author J. K. Rowling.,The author was J.K. Rowling. She wrote the first two books and then wrote the rest of the series.
182,Medicare (United States),"OK, can you tell me more","It also provides health insurance to younger people with some disability status as determined by the Social Security Administration, as well as people with end stage renal disease and amyotrophic lateral sclerosis.","sure, It provides health insurance for 65 aged and older people, and also for younger people with some disability,as well as with end stage of renal disease","YEs buddy, Medicare covers 80% of the RUC-set rate for approved medical services."
183,Bowling form,What are the 3 forms?,"The most basic form is known as stroking, which is the most classic form.","The most basic form is known as stroking, which is the most classic form .","There are three basic forms of 10 pin bowling. The first is called candlepin bowling, the second is called duck pin bowling, and the third is called five-pin bowling."
184,Instagram,"Hmm, must check it out. Any idea who developed it?","It was created by Kevin Systrom and Mike Krieger, and launched in October 2010 as a free mobile app exclusively for the iOS operating system.",Kevin sytsrom and Mike Krieger in 2010,"It was created by Kevin Systrom and Mike Krieger, and launched in October 2010 exclusively on iOS"
185,Nickelback,I like to go to canada trip. can you tell more about that place,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.","Well the bank Nickelback is from Hanna, Alberta Canada and their lead singer and guitarist is Chad Kroeger","Nickelback is one of the most commercially successful Canadian rock bands, having sold more than 50 million records worldwide!"
186,Motivation,Yes exactly! Do you have any advice on how to be more motivated?,"A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",Well its hard you need something to prompt you to act to get motivated to do it so you actually can act,Yea you have to master your motivation to allow sustained and deliberate practice is central to high levels of achievement
187,Cheerleading,"Wow, very impressive.  How long did it take you to learn all those moves?","Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.","I loved gymnastics from the time I was 3. Dance, too. I mean, being here int the U.S. means it's big -- and big business. There are like 1.5 million participants in all-star cheerleading!","I think it took me about a year, but I'm not sure how long it took you to learn all those moves. I know that cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading."
188,Nickelback,thats very imformative. can you tell me what you about the singer?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.","Ah yes! The lead vocalist is Chad Kroeger, and the backing vocalist is Ryan Peake. Great voices!","I think Chad Kroeger is the lead vocalist. He's also the guitarist, keyboardist, bassist, and backing vocalist!"
189,J. K. Rowling,She must have made a lot of money. How many books are in the series?,"The books have won multiple awards, and sold more than 400 million copies.","Yup, she is probably a millionaire since she sold more than 400 million copies across 8 books.",There are seven books in the series. They were all published between 1997 and 2005. They are very popular.
190,Health insurance in the United States,"Wow, they have good services","In the United States, health insurance is any program that helps pay for medical expenses, whether through privately purchased insurance, social insurance or a social welfare program funded by the government.","Yes, oth government and private health insurance aret there.What type of health insurance are you going to take. ","Yea, Medicare covers 80% of the RUCs in the US, and the remaining 20% is covered by Medicaid"
191,Japanese language,Japanese language,"Little is known of the language's prehistory, or when it first appeared in Japan.","I want to learn to speak japanese, little is known of the languages history tho",I love the Japanese language.  It is one of the most spoken languages in the world.  Do you speak Japanese?
192,Instagram,"So it's not that old then. Do you have to open an account with it, or can you just post?",Instagram lets registered users upload photos or videos to the service.,You have to register as a user to upload photos,Yes you can create an account and you can upload photos and videos to the app and you are good to go
193,Nickelback,Good buddy.what special in album,"The band achieved commercial success with the release of their 2000 album ""The State"" and then they achieved mainstream success with the release of their 2001 album ""Silver Side Up"".","They released a great album called ""The State"" in 2000 album and it achieved commercial success","Well the album is called ""Curb Your Enthusiasm"" and it was released in 1996."
194,Motivation,"Yeah, i just have no idea what can get me to do that. Maybe I'll start drinking more coffee?","Motivation is the reason for people's actions, desires, and needs.",I think if it was easy to get motivated to act on desires and needs people wouldnt struggle with it,Yea same motivation is very hard you need something to prompt you to act to get motivated to do it so you actually can act
195,Green,"Green
Colors are a lot of fun. My favorite to use in art is green.",Green is the color between blue and yellow on the visible spectrum.,I also like green.  It is right between yellow and blue on the color wheel,I love the color green too.  It is a primary color in the family of primary colors.
196,no_passages_used,yes i agree. do you know how they got discovered?,no_passages_used,I haven't heard about the backstory on how they were discovered. Do you happen to know the history?,"I'm not sure how they got discovered, but I do know that they've sold over 50 million albums worldwide!"
197,Harry Potter,"Wow, that is crazy!!! Would it be weird if I started reading the books now, even though my kids are grown and out of the house?","They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature.","Yes! In fact, they have attracted a wide adult audience, not only children!","Yup, it would not be too hard since the books are set in the wizarding world."
198,Harry Potter,Harry Potter,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,Harry Potter is a really solid set of novels.,Harry Potter is my favorite book series. It's about a boy who discovers he is a wizard.
199,Japanese language,"That's very mysterious. Is there anything else spooky about the Japanese language, haha.","Chinese documents from the 3rd century recorded a few Japanese words, but substantial texts did not appear until the 8th century.","A few words show up in chinese documents from 3rd century then nothing until 8th century, strange huh?","I think it is spooky because it has a lot of acronyms, and the numeral system uses mostly Arabic numerals"
200,Instagram,So it's kind of like Facebook then. How many members are there?,It is owned by Facebook.,Not sure how many members but it is owned now by facebook,I'm not sure how many people use it but it has over 1 billion monthly users so it must be popular
201,Hunting,Hunting,"Hunting wildlife or feral animals is most commonly done by humans for food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade.",I think deer hunting is interesting. I myself hunt for food.,I love to go hunting. It's a great way to catch elusive game.  Do you like to hunt?
202,no_passages_used,Yes good point. i guess I should just give up and accept that I don't have any motivation.,no_passages_used,Motivation is something i hope i find someday haha,Yea same motivation is very hard if you dont desire it or need it so you should just give up
203,History of Crayola crayons,Yep! Colors are really interesting with how ways you can mix them to make new colors. ,"Since the introduction of Crayola drawing crayons by Binney & Smith in 1903, more than two hundred distinctive colors have been produced in a wide variety of assortments.",I learned most about colors as a kid while using Crayola crayons.  Can you believe Crayola has been around since 1903?,It is also a primary color in subtractive color theory.  It is used in painting and color printing
204,Green,"Green
When I see green, I can't help but think of nature.",It is evoked by light which has a dominant wavelength of roughly 495570 nm.,"Me too, I study colors for a living and green is a personal favorite, In fact green has a very dominant wavelength of roughly 495570 nm which is high on the color spectrum.",I love the color green. It reminds me of nature.  It is also the color of plants.
205,Cardigan (sweater),"Cardigan (sweater)
Cardigans make me look dapper.","The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",I agree. They're associated with the Roaring Twenties which had many classy dressing styles.,I love cardigans! They are a type of knitted garment that has an open front. 
206,Harry Potter,"My son loves the series, but I don't know much about it. How many books are in the series?",Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,Harry Potter consists of seven different fantasy novels.,"I'm not sure how many there are, but I do know that Harry Potter and the Philosopher's Stone is the first book."
207,Japanese language,"It's that Japanese secrecy stuff, I bet they burned all their documents or something. So is the Japanese language similar to Chinese?","During the Heian period (794–1185), Chinese had considerable influence on the vocabulary and phonology of Old Japanese.",Yes and old records indicate Chinese had a lot of influence on early japanese language,"I think it is similar to chinese in that it has a tripartite writing system using hiragana, katakana, and kanji."
208,Paramedic,"Paramedic
my friend wanted to be a paramedic","A paramedic is a healthcare professional, predominantly in the pre-hospital and out-of-hospital environment, and working mainly as part of emergency medical services (EMS), such as on an ambulance.",I wouldn't want to be EMS on 911 calls.  The scenes would haunt you for life.,"I'm not sure what a paramedic is, but I do know that they are trained to respond to medical emergencies."
209,Deer hunting,What types of food can you get from deer meat?,There are many types of deer around the world that are hunted.,There are many types of deer around the world that are hunted for food. They give us venison.,"You can get a lot of different things from deer meat. I like venison, venison jerky, and venison sausage."
210,Green,Green,Green is the color between blue and yellow on the visible spectrum.,My favorite color is green. whats yours?,I love the color green.  It is so common in nature.  Do you like green?
211,History of Crayola crayons,That's amazing. I never thought about how old their company must be until now. ,"After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",It is funny to think that they started with just one color...it was called the Black Staonal Marking Crayon,Crayola has been around since 1903.  That's a long time.  I wonder how long they have been making crayons.
212,no_passages_used,"Very interesting! One of my favorite ""shades"" is lime green. I have a lot of computer parts that glow this color!",no_passages_used,"That sounds really cool. I know that Razer makes lots of green products, I bet those are your favorites eh?","Lime green is actually the color between green and orange on the color wheel, so it is a very popular color."
213,Cardigan (sweater),Do you know if there are any made out of a material other than cotton?,A cardigan is a type of knitted garment (sweater) that has an open front.,"Not sure, but they are knitted so I'm guessing lots of different materials can be used.","I'm not sure, but I do know that cardigans have been around for a long time."
214,Harry Potter,I better get reading! What is the general plot of the story?,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.","Harry Potter follows, you guessed it, Harry Potter and his friends like Hermione and Ron.","The main plot is that Harry Potter is a wizard who lives in Surrey with his aunt, uncle, and cousin."
215,Online shopping,Online shopping,"Consumers find a product of interest by visiting the website of the retailer directly or by searching among alternative vendors using a shopping search engine, which displays the same product's availability and pricing at different e-retailers.",I shop online way too much. I tend to visit too many retailers and searching for products I might want or need and it shows me everything I want to know.,I love online shopping. It allows me to directly buy goods or services from sellers over the internet.
216,Enhanced 9-1-1,yea thats why my friend quit,"Enhanced 911, E-911 or E911 is a system used in North America that links emergency callers with the appropriate public resources.",I imagine it is not as bad not that there is enchanced 911 so paramedics only have to go to the calls they are absolutely neccessary for ,That's understandable.  It's a tough job.  You have to deal with a lot of medical emergencies.
217,White-tailed deer,What types of deer are found in the United States?,"The white-tailed deer (""Odocoileus virginianus""), also known as the whitetail or Virginia deer, is a medium-sized deer native to the United States, Canada, Mexico, Central America, and South America as far south as Peru and Bolivia.",The white-tailed deer is native to the United States as are some other varities.,"There are many different types of deer in the United States. There are white-tailed deer, tufted deer, and muntjac deer."
